Descricao,Valor
ANÁLISE ACÚSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ,"4,11"
ANÁLISE DE BACTÉRIAS PATOGÊNICAS EM ÁGUA,"0,00"
ANÁLISE DE BACTÉRIAS PATOGÊNICAS EM SOLO,"0,00"
"ANÁLISE DE CARACTERES FÍSICOS, ELEMENTOS E SEDIMENTO DA URINA","3,70"
ANÁLISE DE COLIFORMES E BACTÉRIAS HETEROTRÓFICAS EM ÁGUA,"0,00"
ANÁLISE DE DNA PELA TÉCNICA DE SOUTHERN BLOT,"0,00"
ANÁLISE DE DNA POR MLPA,"0,00"
ANÁLISE DE METAIS PESADOS,"0,00"
ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA,"0,00"
ANÁLISE DE RESÍDUOS DE PESTICIDAS,"0,00"
ANÁLISE FÍSICO-QUÍMICA DE ÁGUA,"0,00"
ANASTOMOSE BILEO-DIGESTIVA,"1.161,31"
ANASTOMOSE BILEO-DIGESTIVA EM ONCOLOGIA,"1.252,60"
ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL,"8.431,76"
ANASTOMOSE CAVO-PULMONAR BIDIRECIONAL (CRIANÇA E ADOLESCENTE),"14.685,43"
ANASTOMOSE CAVO-PULMONAR TOTAL,"16.557,69"
ANASTOMOSE ESPLENO-RENAL / OUTRA DERIVAÇÃO CENTRAL,"1.137,80"
ANASTOMOSE LINFOVENOSA,"1.142,89"
ANASTOMOSE PORTO-CAVA,"1.254,33"
ANASTOMOSE SISTÊMICO PULMONAR COM CEC,"3.855,37"
ANASTOMOSE SISTÊMICO PULMONAR COM CEC (CRIANÇA E ADOLESCENTE),"8.426,52"
ANASTOMOSE SISTÊMICO-PULMONAR,"5.554,95"
ANASTOMOSE SISTÊMICO-PULMONAR (CRIANÇA E ADOLESCENTE),"12.131,83"
ANASTOMOSE VASCULAR EXTRA / INTRACRANIANA,"4.846,89"
ÂNCORA,"197,60"
ANDADOR FIXO / ARTICULADO EM ALUMÍNIO COM QUATRO PONTEIRAS.,"130,00"
ANEL P/ ANELOPLASTIA VALVULAR,"218,12"
ANESTESIA GERAL,"84,00"
ANESTESIA OBSTÉTRICA P/ CESARIANA,"61,18"
ANESTESIA OBSTÉTRICA P/CESARIANA EM GESTAÇÃO DE ALTO RISCO,"96,60"
ANESTESIA REGIONAL,"22,27"
ANEURISMECTOMIA DE AORTA ABDOMINAL INFRA-RENAL,"1.622,26"
ANEURISMECTOMIA TORACO-ABDOMINAL,"4.155,21"
ANEXECTOMIA UNI / BILATERAL EM ONCOLOGIA,"1.545,10"
ANGIOGRAFIA CEREBRAL (4 VASOS),"179,46"
ANGIOGRAFIA CEREBRAL P/ DIAGNOSTICO DE MORTE ENCEFALICA (4 VASOS),"0,00"
ANGIOGRAFIA DE ARCO AÓRTICO,"137,01"
ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS,"137,01"
ANGIOPLASTIA COM IMPLANTE DE DUPLO STENT EM AORTA/ARTERIA PULMONAR E RAMOS,"1.575,72"
ANGIOPLASTIA CORONARIANA,"1.575,72"
ANGIOPLASTIA CORONARIANA C/ IMPLANTE DE DOIS STENTS,"1.575,72"
ANGIOPLASTIA CORONARIANA COM IMPLANTE DE STENT,"1.575,72"
ANGIOPLASTIA CORONARIANA PRIMÁRIA,"1.747,52"
ANGIOPLASTIA EM ENXERTO CORONARIANO,"1.575,72"
ANGIOPLASTIA EM ENXERTO CORONARIANO (COM IMPLANTE DE STENT),"1.575,72"
ANGIOPLASTIA INTRACRANIANA EM VASO-ESPASMO,"807,81"
"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (COM STENT)","1.614,75"
"ANGIOPLASTIA INTRALUMINAL DE AORTA, VEIA CAVA / VASOS ILÍACOS (C STENT)","1.614,75"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT NÃO RECOBERTO),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (COM STENT RECOBERTO),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DAS EXTREMIDADES (SEM STENT),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCOCO / TRONCOS SUPRA-AÓRTICOS (SEM STENT),"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS DO PESCO~O OU TRONCOS SUPRA-AÓRTICOS (COM STENT NAO RECOBE,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS / RENAIS,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT NÃO RECOBERTO,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DE VASOS VISCERAIS COM STENT RECOBERTO,"1.065,36"
ANGIOPLASTIA INTRALUMINAL DOS VASOS DO PESCOCO / TRONCOS SUPRA-AÓRTICOS (COM STENT RECOBERTO),"1.065,36"
ANGIORESSONÂNCIA CEREBRAL,"268,75"
ANTIBIOGRAMA,"4,98"
