CÓLERA,A00
CARCINOMA IN SITU DE OUTROS ÓRGÃOS GENITAIS E DOS NÃO ESPECIFICADOS,D07
CARCINOMA IN SITU DE OUTRAS LOCALIZAÇÕES E DAS NÃO ESPECIFICADAS,D09
NEOPLASIA BENIGNA DA BOCA E DA FARINGE,D10
NEOPLASIA BENIGNA DE GLÂNDULAS SALIVARES MAIORES,D11
"NEOPLASIA BENIGNA DO CÓLON, RETO, CANAL ANAL E ÂNUS",D12
NEOPLASIA BENIGNA DE OUTRAS PARTES E DE PARTES MAL DEFINIDAS DO APARELHO DIGESTIVO,D13
NEOPLASIA BENIGNA DO OUVIDO MÉDIO E DO APARELHO RESPIRATÓRIO,D14
NEOPLASIA BENIGNA DE OUTROS ÓRGÃOS INTRATORÁCICOS E DOS NÃO ESPECIFICADOS,D15
NEOPLASIA BENIGNA DE OSSO E DE CARTILAGEM ARTICULAR,D16
NEOPLASIA LIPOMATOSA BENIGNA,D17
HEMANGIOMA E LINFANGIOMA DE QUALQUER LOCALIZAÇÃO,D18
NEOPLASIA BENIGNA DE TECIDO MESOTELIAL,D19
NEOPLASIA BENIGNA DE TECIDO MOLE DO RETROPERITÔNIO E DO PERITÔNIO,D20
OUTRAS NEOPLASIAS BENIGNAS DO TECIDO CONJUNTIVO E DE OUTROS TECIDOS MOLES,D21
NEVOS MELANOCÍTICOS,D22
OUTRAS NEOPLASIAS BENIGNAS DA PELE,D23
NEOPLASIA BENIGNA DA MAMA,D24
LEIOMIOMA DO ÚTERO,D25
OUTRAS NEOPLASIAS BENIGNAS DO ÚTERO,D26
NEOPLASIA BENIGNA DO OVÁRIO,D27
NEOPLASIA BENIGNA DE OUTROS ÓRGÃOS GENITAIS FEMININOS E DE ÓRGÃOS NÃO ESPECIFICADOS,D28
NEOPLASIA BENIGNA DOS ÓRGÃOS GENITAIS MASCULINOS,D29
NEOPLASIA BENIGNA DOS ÓRGÃOS URINÁRIOS,D30
NEOPLASIA BENIGNA DO OLHO E ANEXOS,D31
NEOPLASIA BENIGNA DAS MENINGES,D32
NEOPLASIA BENIGNA DO ENCÉFALO E DE OUTRAS PARTES DO SISTEMA NERVOSO CENTRAL,D33
NEOPLASIA BENIGNA DA GLÂNDULA TIREÓIDE,D34
NEOPLASIA BENIGNA DE OUTRAS GLÂNDULAS ENDÓCRINAS E DAS NÃO ESPECIFICADAS,D35
NEOPLASIA BENIGNA DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS,D36
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DA CAVIDADE ORAL E DOS ÓRGÃOS DIGESTIVOS,D37
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DO OUVIDO MÉDIO E DOS ÓRGÃOS RESPIRATÓRIOS E INTRATORÁCICOS,D38
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS GENITAIS FEMININOS,D39
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS GENITAIS MASCULINOS,D40
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS ÓRGÃOS URINÁRIOS,D41
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DAS MENINGES,D42
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DO ENCÉFALO E DO SISTEMA NERVOSO CENTRAL,D43
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DAS GLÂNDULAS ENDÓCRINAS,D44
POLICITEMIA VERA,D45
SÍNDROMES MIELODISPLÁSICAS,D46
"OUTRAS NEOPLASIAS DE COMPORTAMENTO INCERTO OU DESCONHECIDO DOS TECIDOS LINFÁTICO, HEMATOPOÉTICO E TECIDOS CORRELATOS",D47
NEOPLASIA DE COMPORTAMENTO INCERTO OU DESCONHECIDO DE OUTRAS LOCALIZAÇÕES E DE LOCALIZAÇÕES NÃO ESPECIFICADAS,D48
ANEMIA POR DEFICIÊNCIA DE FERRO,D50
ANEMIA POR DEFICIÊNCIA DE VITAMINA B12,D51
ANEMIA POR DEFICIÊNCIA DE FOLATO,D52
OUTRAS ANEMIAS NUTRICIONAIS,D53
ANEMIA DEVIDA A TRANSTORNOS ENZIMÁTICOS,D55
TALASSEMIA,D56
TRANSTORNOS FALCIFORMES,D57
OUTRAS ANEMIAS HEMOLÍTICAS HEREDITÁRIAS,D58
ANEMIA HEMOLÍTICA ADQUIRIDA,D59
"APLASIA PURA DA SÉRIE VERMELHA, ADQUIRIDA [ERITROBLASTOPENIA]",D60
OUTRAS ANEMIAS APLÁSTICAS,D61
ANEMIA AGUDA PÓS-HEMORRÁGICA,D62
ANEMIA EM DOENÇAS CRÔNICAS CLASSIFICADAS EM OUTRA PARTE,D63
OUTRAS ANEMIAS,D64
COAGULAÇÃO INTRAVASCULAR DISSEMINADA [SÍNDROME DE DESFIBRINAÇÃO],D65
DEFICIÊNCIA HEREDITÁRIA DO FATOR VIII,D66
DEFICIÊNCIA HEREDITÁRIA DO FATOR IX,D67
OUTROS DEFEITOS DA COAGULAÇÃO,D68
PÚRPURA E OUTRAS AFECÇÕES HEMORRÁGICAS,D69
AGRANULOCITOSE,D70
TRANSTORNOS FUNCIONAIS DOS NEUTRÓFILOS POLIMORFONUCLEARES,D71
OUTROS TRANSTORNOS DOS GLÓBULOS BRANCOS,D72
DOENÇAS DO BAÇO,D73
METEMOGLOBINEMIA,D74
OUTRAS DOENÇAS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS,D75
ALGUMAS DOENÇAS QUE ENVOLVEM O TECIDO LINFORRETICULAR E O SISTEMA RETICULOHISTIOCÍTICO,D76
OUTROS TRANSTORNOS DO SANGUE E DOS ÓRGÃOS HEMATOPOÉTICOS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,D77
IMUNODEFICIÊNCIA COM PREDOMINÂNCIA DE DEFEITOS DE ANTICORPOS,D80
DEFICIÊNCIAS IMUNITÁRIAS COMBINADAS,D81
"IMUNODEFICIÊNCIA ASSOCIADA COM OUTROS DEFEITOS ""MAJOR""",D82
IMUNODEFICIÊNCIA COMUM VARIÁVEL,D83
OUTRAS IMUNODEFICIÊNCIAS,D84
SARCOIDOSE,D86
OUTROS TRANSTORNOS QUE COMPROMETEM O MECANISMO IMUNITÁRIO NÃO CLASSIFICADOS EM OUTRA PARTE,D89
SÍNDROME DE DEFICIÊNCIA CONGÊNITA DE IODO,E00
"TRANSTORNOS TIREOIDIANOS E AFECÇÕES ASSOCIADAS, RELACIONADOS À DEFICIÊNCIA DE IODO",E01
HIPOTIREOIDISMO SUBCLÍNICO POR DEFICIÊNCIA DE IODO,E02
OUTROS HIPOTIREOIDISMOS,E03
OUTROS BÓCIOS NÃO-TÓXICOS,E04
TIREOTOXICOSE [HIPERTIREOIDISMO],E05
TIREOIDITE,E06
OUTROS TRANSTORNOS DA TIREÓIDE,E07
DIABETES MELLITUS INSULINO-DEPENDENTE,E10
DIABETES MELLITUS NÃO-INSULINO-DEPENDENTE,E11
